数据库：分省年度数据
指标：地方财政税收收入(亿元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,4643.87,4822.98,4988.83,4676.68,4452.97,4263.91,3861.29,3514.52,3124.75,2854.63,2251.59,1913.97,1775.58,1435.67,,,,588.96,539.87
天津市,,1500.14,1634.35,1624.89,1611.96,1624.22,1578.07,1486.88,1310.66,1105.56,1004.51,776.65,614.27,546.26,438.36,,,201.64,177.56,154.81
河北省,,2527.28,2630.73,2555.82,2199.35,1996.12,1934.29,1866.06,1724.87,1560.59,1348.51,1074.04,839.33,748.89,618.30,,,,255.46,202.75
山西省,,1625.99,1783.66,1645.67,1397.43,1036.67,1056.60,1134.34,1136.89,1045.22,872.88,692.71,581.91,566.49,430.50,,,170.71,147.60,112.20
内蒙古自治区,,1457.76,1539.69,1399.86,1286.91,1335.88,1320.75,1251.07,1215.20,1119.87,985.69,752.81,576.83,464.45,347.91,,,,106.54,162.48
辽宁省,,1879.06,1929.52,1976.13,1812.42,1687.45,1650.45,2330.57,2521.62,2317.19,1974.85,1516.65,1183.98,1017.10,815.67,,,411.50,361.40,333.00
吉林省,,771.95,797.98,891.75,854.03,872.97,867.12,884.40,856.41,760.57,624.19,439.31,361.11,311.07,237.39,,,130.51,125.77,111.97
黑龙江省,,811.92,924.40,980.80,901.91,827.85,880.34,977.40,912.82,837.80,741.85,556.97,444.31,420.21,334.97,,,,201.46,
上海市,,5841.88,6216.29,6285.04,5865.51,5625.90,4858.16,4219.05,3797.16,3426.79,3172.72,2707.80,2368.45,2223.43,1975.48,,,842.74,863.68,554.70
江苏省,,7413.86,7339.59,7263.65,6484.33,6531.83,6610.12,6006.05,5419.49,4782.59,4124.62,3312.61,2654.75,2278.71,1894.77,,,833.71,690.53,565.30
浙江省,,6261.75,5898.75,5586.63,4940.74,4540.09,4168.22,3853.96,3545.66,3227.77,2952.01,2464.96,1983.81,1792.09,1535.35,,,,673.47,
安徽省,,2199.52,2209.73,2180.74,1970.68,1857.53,1799.89,1692.52,1520.22,1305.09,1108.31,866.55,629.32,527.93,401.88,,,204.83,176.77,162.00
福建省,,2184.72,2208.98,2237.42,2052.64,1962.72,1938.71,1893.73,1723.28,1440.34,1254.31,966.09,778.14,704.45,594.02,,,,251.77,
江西省,,1701.92,1747.63,1663.15,1515.01,1471.10,1517.03,1381.13,1178.74,978.08,777.09,585.11,430.02,357.96,281.86,,,,123.05,187.04
山东省,,4757.62,4849.29,4897.92,4419.40,4212.59,4203.12,3965.76,3533.49,3050.20,2603.13,2149.90,1720.35,1533.53,1308.35,,,627.43,558.28,495.03
河南省,,2764.73,2841.34,2656.65,2329.31,2158.44,2101.17,1951.46,1764.71,1469.57,1263.10,1016.55,821.50,742.27,625.02,,,307.12,264.40,242.24
湖北省,,1923.45,2530.82,2463.52,2247.82,2122.93,2086.50,1873.11,1604.85,1324.44,1067.11,777.96,616.06,537.21,433.98,,,,205.38,191.01
湖南省,,2057.98,2061.96,1959.67,1759.13,1551.33,1527.52,1438.52,1299.15,1110.74,915.40,730.84,568.27,486.31,410.66,,,218.70,186.61,148.61
广东省,,9881.95,10063.95,9737.51,8871.89,8098.63,7377.07,6510.47,5767.94,5073.88,4548.66,3803.47,3130.61,2864.79,2415.47,,,1191.55,1109.50,1032.33
广西壮族自治区,,1113.22,1146.78,1122.09,1057.69,1036.22,1031.65,978.07,875.74,762.46,644.80,533.87,417.68,346.49,282.68,,,,146.46,131.27
海南省,,559.82,653.25,628.68,543.56,504.96,514.31,480.55,411.63,350.80,295.69,237.10,151.24,120.54,87.99,,,44.67,40.54,36.38
重庆市,,1430.72,1541.22,1603.03,1476.33,1438.45,1450.93,1281.83,1112.62,970.17,881.07,621.56,435.62,360.29,294.46,,,,119.37,101.63
四川省,,2967.20,2888.74,2819.77,2430.32,2329.23,2353.51,2312.46,2103.51,1827.04,1537.42,1180.58,886.67,732.07,628.95,,,303.55,254.19,230.26
贵州省,,1086.04,1204.02,1266.02,1179.73,1120.44,1126.03,1026.70,839.67,681.66,518.14,395.57,311.71,260.80,211.85,,,,93.44,89.22
云南省,,1453.07,1450.63,1423.25,1233.85,1173.52,1210.54,1233.23,1215.66,1063.90,881.95,702.16,548.11,482.39,378.64,,,209.36,184.43,173.36
西藏自治区,,143.24,157.52,155.93,122.70,99.05,92.00,85.86,71.54,70.07,45.83,25.28,18.51,15.19,11.67,,,7.19,6.54,5.81
陕西省,,1752.14,1846.11,1774.29,1485.58,1204.39,1290.33,1335.68,1256.24,1131.55,933.84,710.57,532.80,455.60,355.50,,,,143.13,96.62
甘肃省,,567.93,577.92,610.47,547.14,526.00,529.79,490.26,417.73,347.78,284.04,220.29,176.04,162.80,142.05,,,,72.24,65.43
青海省,,213.27,198.70,205.49,183.96,176.48,205.81,199.39,175.05,146.69,119.85,88.94,70.17,55.90,43.29,,,20.52,19.63,15.82
宁夏回族自治区,,263.87,267.50,298.30,270.30,246.55,256.31,250.33,237.49,207.02,177.13,126.79,90.74,77.74,58.79,,,,24.41,21.93
新疆维吾尔自治区,,910.19,1016.09,1051.80,944.38,869.18,861.73,887.79,826.34,698.93,593.41,416.23,301.13,286.55,220.65,,,123.19,105.24,93.58
数据来源：国家统计局
