数据库：分省年度数据
指标：森林覆盖率(%)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,43.8,43.8,43.8,43.8,43.8,43.8,43.8,35.8,35.8,35.8,35.8,35.8,31.7,31.7,31.7,31.7,31.7,,
天津市,,12.1,12.1,12.1,12.1,12.1,12.1,12.1,9.9,9.9,9.9,9.9,9.9,8.2,8.2,8.2,8.2,8.2,,
河北省,,26.8,26.8,26.8,26.8,26.8,26.8,26.8,23.4,23.4,23.4,23.4,23.4,22.3,22.3,22.3,22.3,22.3,,
山西省,,20.5,20.5,20.5,20.5,20.5,20.5,20.5,18.0,18.0,18.0,18.0,18.0,14.1,14.1,14.1,14.1,14.1,,
内蒙古自治区,,22.1,22.1,22.1,22.1,22.1,22.1,22.1,21.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,20.0,,
辽宁省,,39.2,39.2,39.2,39.2,39.2,39.2,39.2,38.2,38.2,38.2,38.2,38.2,35.1,35.1,35.1,35.1,35.1,,
吉林省,,41.5,41.5,41.5,41.5,41.5,41.5,41.5,40.4,40.4,40.4,40.4,40.4,38.9,38.9,38.9,38.9,38.9,,
黑龙江省,,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.2,43.2,43.2,43.2,43.2,42.4,42.4,42.4,42.4,42.4,,
上海市,,14.0,14.0,14.0,14.0,14.0,14.0,14.0,10.7,10.7,10.7,10.7,10.7,9.4,9.4,9.4,9.4,9.4,,
江苏省,,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.8,15.8,15.8,15.8,15.8,10.5,10.5,10.5,10.5,10.5,,
浙江省,,59.4,59.4,59.4,59.4,59.4,59.4,59.4,59.1,59.1,59.1,59.1,59.1,57.4,57.4,57.4,57.4,57.4,,
安徽省,,28.7,28.7,28.7,28.7,28.7,28.7,28.7,27.5,27.5,27.5,27.5,27.5,26.1,26.1,26.1,26.1,26.1,,
福建省,,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.0,66.0,66.0,66.0,66.0,63.1,63.1,63.1,63.1,63.1,,
江西省,,61.2,61.2,61.2,61.2,61.2,61.2,61.2,60.0,60.0,60.0,60.0,60.0,58.3,58.3,58.3,58.3,58.3,,
山东省,,17.5,17.5,17.5,17.5,17.5,17.5,17.5,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,16.7,,
河南省,,24.1,24.1,24.1,24.1,24.1,24.1,24.1,21.5,21.5,21.5,21.5,21.5,20.2,20.2,20.2,20.2,20.2,,
湖北省,,39.6,39.6,39.6,39.6,39.6,39.6,39.6,38.4,38.4,38.4,38.4,38.4,31.1,31.1,31.1,31.1,31.1,,
湖南省,,49.7,49.7,49.7,49.7,49.7,49.7,49.7,47.8,47.8,47.8,47.8,47.8,44.8,44.8,44.8,44.8,44.8,,
广东省,,53.5,53.5,53.5,53.5,53.5,53.5,53.5,51.3,51.3,51.3,51.3,51.3,49.4,49.4,49.4,49.4,49.4,,
广西壮族自治区,,60.2,60.2,60.2,60.2,60.2,60.2,60.2,56.5,56.5,56.5,56.5,56.5,52.7,52.7,52.7,52.7,52.7,,
海南省,,57.4,57.4,57.4,57.4,57.4,57.4,57.4,55.4,55.4,55.4,55.4,55.4,52.0,52.0,52.0,52.0,52.0,,
重庆市,,43.1,43.1,43.1,43.1,43.1,43.1,43.1,38.4,38.4,38.4,38.4,38.4,34.9,34.9,34.9,34.9,34.9,,
四川省,,38.0,38.0,38.0,38.0,38.0,38.0,38.0,35.2,35.2,35.2,35.2,35.2,34.3,34.3,34.3,34.3,34.3,,
贵州省,,43.8,43.8,43.8,43.8,43.8,43.8,43.8,37.1,37.1,37.1,37.1,37.1,31.6,31.6,31.6,31.6,31.6,,
云南省,,55.0,55.0,55.0,55.0,55.0,55.0,55.0,50.0,50.0,50.0,50.0,50.0,47.5,47.5,47.5,47.5,47.5,,
西藏自治区,,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.0,12.0,12.0,12.0,12.0,11.9,11.9,11.9,11.9,11.9,,
陕西省,,43.1,43.1,43.1,43.1,43.1,43.1,43.1,41.4,41.4,41.4,41.4,41.4,37.3,37.3,37.3,37.3,37.3,,
甘肃省,,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,10.4,10.4,10.4,10.4,10.4,,
青海省,,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.6,5.6,5.6,5.6,5.6,4.6,4.6,4.6,4.6,4.6,,
宁夏回族自治区,,12.6,12.6,12.6,12.6,12.6,12.6,12.6,11.9,11.9,11.9,11.9,11.9,9.8,9.8,9.8,9.8,9.8,,
新疆维吾尔自治区,,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.2,4.2,4.2,4.2,4.2,4.0,4.0,4.0,4.0,4.0,,
注：1.数据分别为第七次全国森林资源清查(2004-2008)、第八次全国森林资源清查(2009-2013)、第九次全国森林资源清查(2014-2018)资料。
　　　2.全国总计数包括台湾省和香港、澳门特别行政区数据。
数据来源：国家统计局
